Setcode,"Card Name ""JP (EN)""",Image,Type,Rarity,Color,LIFE/HP,Tags,Baton Pass,Text,Alternate Art,Rarity
hBP01-094,"オーロ・クロニー
(Ouro Kronii)",,1st holomem,U,Blue,120,#EN #Promise,1,"Bloom Effect: Kronii-Chiwa!
Search 1 cheer from your cheer deck with the same color as 1 holomem with #Promise on your stage, and send it to your holomem with #Promise. Shuffle your cheer deck.

Arts: Let’s Make It an Unforgettable fes!
Cost: 1 any color
Power: 40",,
hBP03-050,FUWAMOCO,,1st holomem,R,Red/Blue,150,#EN #Advent #Kemomimi,1,"Arts: Twin Demonic Guard Dogs
Cost: 2 any color
Power: 40
Search 1 [red cheer or blue cheer] from your cheer deck, and send it to your holomem with #Advent. Shuffle your cheer deck.

Arts: Together, we're FUWAMOCO!
Cost: 1 blue, 1 red
Power: 60

Extra: This holomem is also regarded as <Fuwawa Abyssgard> <Mococo Abyssgard>",,
hBP03-059,"ロボ子さん
(Robocosan)",,1st holomem,U,Purple,130,#JP #Gen 0 #Shooter,1,"Bloom Effect: If I make a PON then
Look at the top 3 cards of your deck. Reveal 1 holomem with #Gen 0 from among them, and add it to your hand. Return the remaining cards to the bottom of your deck in any order.

Arts: Give me a Smile
Cost: 1 any color
Power: 40",,
hBP03-060,"ロボ子さん
(Robocosan)",,2nd holomem,R,Purple,200,#JP #Gen 0 #Shooter,2,"Arts: Self-Proclaimed [high-spec]
Cost: 1 any color
Power: 70+, +50 vs green
If your opponent's stage has 7 or more cheers, this Arts gets +70.",,
hSD04-007,"癒月ちょこ
(Yuzuki Choco)",,1st holomem,U,Purple,110,#JP #Gen 2 #Cooking,1,"Bloom Effect: Choc-on!
You may return 1 event other than LIMITED from your archive to your hand.

Arts: I Love You! Mwah♡
Cost: 2 any color
Power: 30
Restore 20 HP to 1 of your back holomem.",,
hBP02-058,"森カリオペ
(Mori Calliope)",,1st holomem,R,Purple,140,#EN #Myth #Singing,1,"Bloom Effect: What's up?
You may return 1 [<Mori Calliope's Scythe> or <Death-sensei>] from your archive to your hand.

Arts: Dead Beat
Cost: 1 purple, 1 any color
Power: 30+
If a tool or mascot is attached to this holomem, this Arts gets +30.",,
hBP02-059,"森カリオペ
(Mori Calliope)",,2nd holomem,RR,Purple,200,#EN #Myth #Singing,2,"Bloom Effect: Soul Voice
Reveal 1 card from your deck, and archive it. Then, shuffle the deck.

Arts: Featuring Myth
Cost: 2 purple, 1 any color
Power: 80+, +50 vs blue
If you have 4 or more holomem with #Myth in your archive, this Arts gets +40. Then, if you have 8 or more, this Arts gets +40.",,UR
hBP02-067,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,1st holomem,U,Purple,120,#EN #Advent #Singing #Bird,1,"Bloom Effect: Tea Time with Nerissa
Look at the top 3 cards of your deck. Reveal 1 holomem with #Singing from among them, and add it to your hand. Return the remaining cards to the bottom of your deck in any order.

Arts: Tea Over Coffee
Cost: 1 any color
Power: 20",,
hBP05-060,"ネリッサ・レイヴンクロフト
(Nerissa Ravencroft)",,1st holomem,R,Purple,160,#EN #Advent #Singing #Bird,1,"Bloom Effect: Clair de Lune
Reveal 1 [<Nerissa Ravencroft's Staff> or <Jailbird>] from your deck, and add it to hand. Then, shuffle the deck.

Arts: Fêtes Galantes
Cost: 1 purple, 1 any color
Power: 40
You may archive 1 card from your hand: Deal 20 special damage to your opponent's center holomem or collab holomem.",,
hBP04-071,"大空スバル
(Oozora Subaru)",,1st holomem,R,Yellow,160,#JP #Gen 2 #Bird,1,"Arts: Shuba!
Cost: 1 yellow
Power: 20
Send the top card of your cheer deck to this holomem.

Arts: Our Strongest, Happiest Days
Cost: 1 yellow, 2 any color
Power: 90",,
hBP04-072,"大空スバル
(Oozora Subaru)",,2nd holomem,RR,Yellow,190,#JP #Gen 2 #Singing #Bird,2,"Bloom Effect: Sunlight Stage
You may send 1 yellow cheer from your archive to your holomem.

Arts: Sunshine Girl
Cost: 2 yellow, 1 any color
Power: 100+, +50 vs White
This Arts gets +10 for each cheer on both players' stage. However, only up to 8 cheers are counted.",,UR
hBP03-065,"戌神ころね
(Inugami Korone)",,1st holomem,R,Yellow,150,#JP #GAMERS #Kemomimi,2,"Gift: Boxing Style
[Collab Position Only] During your opponent's main phase, the HP of your center holomem <Inugami Korone> cannot be reduced or changed by your opponent's abilities.

Arts: Here ya go~
Cost: 2 any color
Power: 30
Send the top card of your cheer deck to your holomem with #GAMERS.",,
hSD08-007,"角巻わため
(Tsunomaki Watame)",,Debut holomem,C,Yellow,100,#JP #Gen 4 #Kemomimi #Singing #Summer,1,"Collab Effect: Summer Festival with Everyone
You may send 1 cheer from your archive to your 2nd holomem with #Gen 4.

Arts: Cotton Candy's Delicious
Cost: 1 any color
Power: 10",,
hBP03-070,"角巻わため
(Tsunomaki Watame)",,1st holomem,U,Yellow,130,#JP #Gen 4 #Kemomimi #Singing,1,"Bloom Effect: I'll sing and dance with all my might!
If your stage has 5 or less holomem, you may search 1 Debut holomem <Tsunomaki Watame> from your deck, and place it on your stage. Shuffle your deck.

Arts: Watch until the end, Watamates!
Cost: 2 any color
Power: 30
Send the top card of your cheer deck to your back holomem <Tsunomaki Watame>.",,
hBP04-085,"桃鈴ねね
(Momosuzu Nene)",,1st holomem,U,Yellow,130,#JP #Gen 5 #Singing #Painting,1,"Bloom Effect: The Best Feeling Ever!!!!!!!!!!!!!!
Choose 1 holomem on your stage with #Gen 5. Reveal 1 cheer from your cheer deck with the same color as the chosen holomem, and send it to your holomem with #Gen 5. Then, shuffle the cheer deck.

Arts: I’m Gonna Do My Best!!!!!
Cost: 1 any color
Power: 20",,
hSD01-018,"サブパソコン
(Sub PC)",,Support (Item),C,,,,,"Look at the top 5 cards of your deck. Reveal 1 Limited support card from among them, and add it to hand. Then, return the rest to the bottom of the deck in any order.",,
hBP01-104,"ふつうのパソコン
(Normal PC)",,Support (Item),C,,,,,"Search 1 Debut holomem from your deck, and place it on your stage. Shuffle your deck.",,
hBP05-074,"フレンドリーパソコン
(Friendly PC)",,Support (Item),C,,,,,"Search 1~2 Debut holomem with Extra ""You may include any number of this holomem in the deck"" from your deck, and place them on your stage. Shuffle your deck. If 2 Debut holomem were placed this way, return 1 card from your hand to the bottom of your deck.",,
hBP01-107,"アンコール
(Encore)",,Support (Event),C,,,,,Return 1~3 cheers from your archive to your cheer deck. Shuffle your cheer deck.,,
hBP02-079,"爆発の魔法
(Explosion Magic)",,Support (Event),U,,,#Magic,,"Deal 20 special damage to your opponent's center holomem or collab holomem. However, your opponent's Life does not reduce even if downed.
Only 1 of your event with #Magic can be used each turn.",,
hBP03-088,"凸待ち
(Totsumachi)",,Support (Event),U,,,,,"LIMITED: Only one can be used per turn.

This card can only be used if your life is less than your opponent's.

If your opponent has no collab holomem, your opponent moves 1 of their back holomem to the collab position (Moving is not regarded as collab).",,
hBP05-080,"SorAZセレブレーション
(SorAZ Celebration)",,Support (Event),U,,,,,"LIMITED: Only one can be used per turn.

Draw 2 cards. Look at the top 5 cards of your deck. Reveal 1 1st holomem from among them, and add it to your hand. Return the remaining cards to the bottom of your deck in any order.",,
hSD06-011,"ﾁｬｷ丸
(Chakimaru)",,Support (Tool),C,,,,,"The holomem this tool is attached to gets Arts+10.

◆Additional ability if attached to a 1st or greater <Kazama Iroha>
[1/Turn] During your opponent's turn, when the holomem this tool is attached to takes damage, deal 20 special damage to your opponent's center holomem. However, your opponent's life does not reduce even if downed.

Only 1 tool can be attached to each of your holomem.",,
hBP01-118,"あん肝
(Ankimo)",,Support (Mascot),C,,,,,"The holomem this mascot is attached to gets +10 HP.

◆Additional ability if attached to <Tokino Sora>
If this holomem would use Arts, this mascot is also regarded as a white cheer.

Only 1 mascot can be attached to each of your holomem.",,
hBP02-095,"ドクロくん
(Dokuro-kun)",,Support (Mascot),C,,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Houshou Marine>
[Center Position Only] When this holomem blooms, draw 1 card.

Only 1 mascot can be attached to each of your holomem.",,
hBP04-105,"こよりの助手くん
(Koyori's Assistants)",,Support (Fan),U,,,#KOYO LABO,,"When this fan is attached to a holomem from your hand or archive, you may reattach 1 cheer from your stage to the holomem this fan is attached to.

You may only attach this fan to your <Hakui Koyori>, and you may attach any number of this fan per holomem.",,
hY06-011,"黄エール
(Yellow Cheer)",,Cheer,SY,Yellow,,,,[the base version cheer is only available as S rarity],,
hY05-011,"紫エール
(Purple Cheer)",,Cheer,SY,Purple,,,,[the base version cheer is only available as S rarity],,
hY04-013,"青エール
(Blue Cheer)",,Cheer,SY,Blue,,,,[the base version cheer is only available as S rarity],,
hY03-016,"赤エール
(Red Cheer)",,Cheer,SY,Red,,,,[the base version cheer is only available as S rarity],,
hY02-012,"緑エール
(Green Cheer)",,Cheer,SY,Green,,,,[the base version cheer is only available as S rarity],,
hY01-014,"白エール
(White Cheer)",,Cheer,SY,White,,,,[the base version cheer is only available as S rarity],,
hEB01-004_SR,"ときのそら
(Tokino Sora)",,Debut holomem,SR,Red,130,#JP #Gen 0 #Singing #Summer,1,"Arts: A Comfortable Sense of Distance
Cost: 1 red
Power: 20
Draw 1 card.",,
hEB01-005_SR,"ときのそら
(Tokino Sora)",,Debut holomem,SR,Red,120,#JP #Gen 0 #Singing #Summer,1,"Collab Effect: Ah, So You Want to Go to the Beach?
If you went second and it is your first turn, search 1~3 Debut holomem <Tokino Sora> with Extra from your deck, and place them on your stage. Shuffle your deck. If 3 Debut holomem were placed this way, return 1 card from your hand to the bottom of your deck.

Arts: Sure! I'm So Glad You Invited Me!
Cost: 1 any color
Power: 30",,
hEB01-006_SR,"ときのそら
(Tokino Sora)",,1st holomem,SR,Red,150,#JP #Gen 0 #Singing #Summer,1,"Gift: Me in a Yukata...... What Do You Think?
During your opponent's turn, if this holomem is downed, you may return 1 support card attached to this holomem to your hand.

Arts: Make Sure We Don't Get Separated, Okay?
Cost: 1 red, 1 any color
Power: 50+
If the target of this Arts is a 1st or greater holomem, this Arts gets +30.",,
hEB01-007_SR,"ときのそら
(Tokino Sora)",,1st holomem,SR,Red,160,#JP #Gen 0 #Singing #Summer,1,"Bloom Effect: A Special Tour Just for the Two of Us!
Draw 1 card, and return 1 card from your hand to the bottom of your deck.

Arts: Don't Look Away, Okay?
Cost: 1 any color
Power: 30",,
hEB01-008_SR,"ときのそら
(Tokino Sora)",,1st holomem,SR,Red,150,#JP #Gen 0 #Singing #Summer,1,"Bloom Effect: Want to Try My Masterpiece?
Reveal 1 <STAR STAR☆T> from your deck, and add it to your hand. Then, shuffle your deck.

Arts: Blame It on the Summer Heat
Cost: 2 red
Power: 70",,
hEB01-009_SR,"ときのそら
(Tokino Sora)",,2nd holomem,SR,Red,210,#JP #Gen 0 #Singing #Summer,2,"Collab Effect: This Song is Just for You.
Reveal 1 2nd holomem <Tokino Sora> from your deck, and add it to your hand. Then, shuffle your deck.

Arts: Do You Realize You're More Special Than Anyone Else?
Cost: 1 red, 1 any color
Power: 50, +50 vs purple
Return 1~3 holomem from your archive to your deck and shuffle it. Then, draw 1 card.",,
hEB01-010_SR,"ときのそら
(Tokino Sora)",,2nd holomem,SR,Red,210,#JP #Gen 0 #Singing #Summer,2,"Bloom Effect: Even the Usual Path Feels Special Today
[Center Position Only] You may roll a die once. If it's odd, choose 1 of your opponent's back holomem. Swap your opponent's center holomem and the chosen holomem.

Arts: Looking Back, It Was Always You.
Cost: 1 red, 2 any color
Power: 100, +50 vs green
You may rest 1 of your active back 2nd holomem <Tokino Sora>: After this holomem used Arts, use the same Arts once more.",,UR
hEB01-011_SR,"宝鐘マリン
(Houshou Marine)",,Debut holomem,SR,Blue,120,#JP #Gen 3 #Painting #Sea #Summer,1,"Arts: The Summer Festival Is Exciting, Right?
Cost: 1 blue
Power: 20
You may archive 1 cheer from this holomem: Reveal 1 <Houshou Marine> with #Summer from your deck, and add it to your hand. Then, shuffle your deck.",,
hEB01-012_SR,"宝鐘マリン
(Houshou Marine)",,Debut holomem,SR,Blue,120,#JP #Gen 3 #Painting #Sea #Summer,1,"Collab Effect: You Want to Set Sail with Senchou?
If you went second and it is your first turn, reveal 1 <Houshou Marine> with Bloom Effect from your deck, and add it to hand. Then, shuffle the deck.

Arts: Senchou's Showing Off Her Swimsuit♡
Cost: 1 any color
Power: 30",,
hEB01-013_SR,"宝鐘マリン
(Houshou Marine)",,1st holomem,SR,Blue,160,#JP #Gen 3 #Painting #Sea #Summer,1,"Collab Effect: I'm Leaving Myself Open Here, You Know?
You may archive 1 holomem that is stacked to this holomem: Send the top card of your cheer deck to your holomem.

Arts: Breaking Away From the Crowd......Will We Be Alone?
Cost: 2 any color
Power: 50",,
hEB01-014_SR,"宝鐘マリン
(Houshou Marine)",,1st holomem,SR,Blue,170,#JP #Gen 3 #Painting #Sea #Summer,1,"Bloom Effect: Is It the Sun That's Dazzling? Or Is It......Marine?
Deal 10 special damage to 1 of your opponent's back holomem.

Arts: Don't Be Shy, Why Not Leave It All to Marine?
Cost: 1 blue
Power: 30",,
hEB01-015_SR,"宝鐘マリン
(Houshou Marine)",,1st Buzz holomem,SR,Blue,250,#JP #Gen 3 #Painting #Sea #Summer,2,"Arts: This Seat Here Is Empty, I'm Waiting...
Cost: 1 blue, 1 any color
Power: 60
If 2 or more holomem are stacked to this holomem, you may archive 1 cheer on your stage: Send the top card of your cheer deck to your holomem.

Extra: If this holomem is downed, you get life-2",,
hEB01-016_SR,"宝鐘マリン
(Houshou Marine)",,2nd holomem,SR,Blue,200,#JP #Gen 3 #Painting #Sea #Summer,2,"Arts: You'll Be Captivated by Marine for Life, Right?
Cost: 1 any color
Power: 40+, +50 vs white
If 3 or more holomem are stacked to this holomem, this Arts gets +50.",,
hEB01-017_SR,"宝鐘マリン
(Houshou Marine)",,2nd holomem,SR,Blue,200,#JP #Gen 3 #Painting #Sea #Summer,2,"Bloom Effect: I'll Give You a Bite Too♡
Send 1 cheer from your archive to this holomem.

Arts: Hey, Can You Wipe This Chocolate Off My Face?
Cost: 2 blue, 2 any color
Power: 100+, +50 vs red
If your Oshi holomem is <Houshou Marine>, you may archive all holomem stacked to this holomem: If you archived 1 or more, this Arts gets +100. If you archived 5 or more, deal 100 special damage to 1 of your opponent's back holomem other than Debut.",,UR
hEB01-018_SR,"博衣こより
(Hakui Koyori)",,Debut holomem,SR,Yellow,120,#JP #holoX #Kemomimi #Summer,1,"Gift: Will You Take Koyo to the Summer Festival?
During your opponent's turn, if this holomem is downed, you may return 1 support card with #KOYO LABO attached to this holomem to hand.

Arts: It's Making My Heart Race♡
Cost: 1 any color
Power: 20+
If a support card with #KOYO LABO is attached to this holomem, this Arts gets +20.",,
hEB01-019_SR,"博衣こより
(Hakui Koyori)",,Debut holomem,SR,Yellow,140,#JP #holoX #Kemomimi #Summer,1,"Collab Effect: Oh, You Want to Go to the Beach on Our Next Day Off?
If you went second and it is your first turn, reveal 1 [Debut holomem and/or support card with #KOYO LABO] each from your deck, and add them to your hand. Then, shuffle your deck.

Arts: Look Forward to Seeing Koyo's Swimsuit♡
Cost: 1 any color
Power: 10",,
hEB01-020_SR,"博衣こより
(Hakui Koyori)",,1st holomem,SR,Yellow,190,#JP #holoX #Kemomimi #Summer,2,"Arts: I Researched Assistant's Tastes and Chose This Yukata Just for You♡
Cost: 1 any color
Power: 30

Arts: Let the Heart-Stopping Experiment Begin!
Cost: 1 yellow, 1 any color
Power: 50+
Reveal a number of cards from the top of your deck equal to the number of cheers on your stage. This Arts gets +10 for each holomem revealed among them. Then, return the revealed cards to deck and shuffle it.",,
hEB01-021_SR,"博衣こより
(Hakui Koyori)",,1st holomem,SR,Yellow,170,#JP #holoX #Kemomimi #Summer,1,"Collab Effect: Koyo Gets Assistant's Summer All to Herself♡
Restore 20 HP to 1 of your holomem for each <Koyori's Assistants> on your stage.

Arts: I Caught It! Wao~n!
Cost: 1 any color
Power: 30",,
hEB01-022_SR,"博衣こより
(Hakui Koyori)",,1st holomem,SR,Yellow,140,#JP #holoX #Kemomimi #Summer,1,"Bloom Effect: Koyo Came to Help with the Cleaning!
You may return 1~2 <Koyori's Assistants> from your archive to hand.

Arts: Assistant, What's This?
Cost: 1 yellow
Power: 30+
If there is a 2nd holomem on your stage, this Arts gets +20.",,
hEB01-023_SR,"博衣こより
(Hakui Koyori)",,2nd holomem,SR,Yellow,200,#JP #holoX #Kemomimi #Summer,2,"Bloom Effect: Assistant, You've Been Waiting, Here's Koyo in Her Swimsuit!
You may return 1~4 <Hakui Koyori> from your archive to the bottom of the deck in any order you like. If you returned 4 cards, you may attach 1 support card with #KOYO LABO from your archive to your <Hakui Koyori>.

Arts: I've Made It So You Can See No One But Koyo!♡
Cost: 2 any color
Power: 50, +50 vs white
Draw cards until the number of cards in your hand is the same as the number of <Koyori's Assistants> on your stage.",,
hEB01-024_SR,"博衣こより
(Hakui Koyori)",,2nd holomem,SR,Yellow,200,#JP #holoX #Kemomimi #Summer,2,"Gift: Drown in Koyo!
For each <Koyori's Assistants> attached to this holomem, this holomem gets +10 HP and this holomem's Arts requires -1 colorless.

Arts: A Special Moment, Secret from Everyone Else...♡
Cost: 1 yellow, 2 any color
Power: 120+, +50 vs white
Reveal a number of cards from the top of your deck equal to the number of cheers on your stage. For each holomem revealed among them, this Arts gets +20 and restore 20 HP to 1 of your holomem. Then, return the revealed cards to deck and shuffle it.",,UR
hEB01-010_UR,"ときのそら
(Tokino Sora)",,2nd holomem,UR,Red,210,#JP #Gen 0 #Singing #Summer,2,"Bloom Effect: Even the Usual Path Feels Special Today
[Center Position Only] You may roll a die once. If it's odd, choose 1 of your opponent's back holomem. Swap your opponent's center holomem and the chosen holomem.

Arts: Looking Back, It Was Always You.
Cost: 1 red, 2 any color
Power: 100, +50 vs green
You may rest 1 of your active back 2nd holomem <Tokino Sora>: After this holomem used Arts, use the same Arts once more.",,UR
hEB01-017_UR,"宝鐘マリン
(Houshou Marine)",,2nd holomem,UR,Blue,200,#JP #Gen 3 #Painting #Sea #Summer,2,"Bloom Effect: I'll Give You a Bite Too♡
Send 1 cheer from your archive to this holomem.

Arts: Hey, Can You Wipe This Chocolate Off My Face?
Cost: 2 blue, 2 any color
Power: 100+, +50 vs red
If your Oshi holomem is <Houshou Marine>, you may archive all holomem stacked to this holomem: If you archived 1 or more, this Arts gets +100. If you archived 5 or more, deal 100 special damage to 1 of your opponent's back holomem other than Debut.",,UR
hEB01-024_UR,"博衣こより
(Hakui Koyori)",,2nd holomem,UR,Yellow,200,#JP #holoX #Kemomimi #Summer,2,"Gift: Drown in Koyo!
For each <Koyori's Assistants> attached to this holomem, this holomem gets +10 HP and this holomem's Arts requires -1 colorless.

Arts: A Special Moment, Secret from Everyone Else...♡
Cost: 1 yellow, 2 any color
Power: 120+, +50 vs white
Reveal a number of cards from the top of your deck equal to the number of cheers on your stage. For each holomem revealed among them, this Arts gets +20 and restore 20 HP to 1 of your holomem. Then, return the revealed cards to deck and shuffle it.",,UR
hEB01-001_OUR,"ときのそら
(Tokino Sora)",,Oshi holomem,OUR,Red,5,,,"Oshi Stage Skill: Seaside Venus
At the end of your turn, if your center holomem and collab holomem are <Tokino Sora>, put the top card of your deck as holo Power. Additionally, if you have a 2nd holomem on your stage, draw 1 card.

Oshi Skill holo Power -4: Sudden Romance
[1/Turn] Choose 1 <Tokino Sora> on your stage. Bloom the chosen holomem using a <Tokino Sora> from your deck. Shuffle your deck. During this turn, the chosen holomem requires -1 colorless for its Arts.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-002_OUR,"宝鐘マリン
(Houshou Marine)",,Oshi holomem,OUR,Blue,5,,,"Oshi Stage Skill: Return of the Seductress
At the beginning of your performance phase, if you have a collab holomem, you may bloom your center holomem <Houshou Marine> that bloomed this turn once more using a blue holomem from your hand.

Oshi Skill holo Power -2: Uh, Was That a Little Too Spicy for You?
[1/Turn] Deal 50 special damage to 1 of your opponent's back holomem other than Debut. If 3 or more holomem are stacked to your center holomem, deal 50 special damage to 1 of your opponent's back holomem other than Debut.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-003_OUR,"博衣こより
(Hakui Koyori)",,Oshi holomem,OUR,Yellow,5,,,"Oshi Stage Skill: ""Koyo Color Observation""-- Assistants Only
Increase the number of cards revealed from the top of your deck by your Oshi Skill and the abilities of your yellow <Hakui Koyori> by +1 for each <Koyori's Assistants> on your stage.

Oshi Skill holo Power -2: Analysis Complete! Private Area for Two
[1/Turn] Reveal cards from the top of your deck equal to the number of cheers on your stage. If there are 3 or more holomem among the revealed cards, during this turn, all <Hakui Koyori> on your stage get Arts+30. Add all revealed holomem other than Debut to your hand, and archive the remaining cards.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-001_SEC,"ときのそら
(Tokino Sora)",,Oshi holomem,OSR,Red,5,,,"Oshi Stage Skill: Seaside Venus
At the end of your turn, if your center holomem and collab holomem are <Tokino Sora>, put the top card of your deck as holo Power. Additionally, if you have a 2nd holomem on your stage, draw 1 card.

Oshi Skill holo Power -4: Sudden Romance
[1/Turn] Choose 1 <Tokino Sora> on your stage. Bloom the chosen holomem using a <Tokino Sora> from your deck. Shuffle your deck. During this turn, the chosen holomem requires -1 colorless for its Arts.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-002_SEC,"宝鐘マリン
(Houshou Marine)",,Oshi holomem,OSR,Blue,5,,,"Oshi Stage Skill: Return of the Seductress
At the beginning of your performance phase, if you have a collab holomem, you may bloom your center holomem <Houshou Marine> that bloomed this turn once more using a blue holomem from your hand.

Oshi Skill holo Power -2: Uh, Was That a Little Too Spicy for You?
[1/Turn] Deal 50 special damage to 1 of your opponent's back holomem other than Debut. If 3 or more holomem are stacked to your center holomem, deal 50 special damage to 1 of your opponent's back holomem other than Debut.

[OUR is expected to be the same as SEC but without the written message]",,SEC
hEB01-003_SEC,"博衣こより
(Hakui Koyori)",,Oshi holomem,OSR,Yellow,5,,,"Oshi Stage Skill: ""Koyo Color Observation""-- Assistants Only
Increase the number of cards revealed from the top of your deck by your Oshi Skill and the abilities of your yellow <Hakui Koyori> by +1 for each <Koyori's Assistants> on your stage.

Oshi Skill holo Power -2: Analysis Complete! Private Area for Two
[1/Turn] Reveal cards from the top of your deck equal to the number of cheers on your stage. If there are 3 or more holomem among the revealed cards, during this turn, all <Hakui Koyori> on your stage get Arts+30. Add all revealed holomem other than Debut to your hand, and archive the remaining cards.

[OUR is expected to be the same as SEC but without the written message]",,SEC
