Setcode,"Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text,,,,,,,,,
hSD05-009,"轟はじめ
(Todoroki Hajime)",,2,2nd holomem,RR,White,180,#DEV_IS #ReGLOSS #Baby,"Bloom Effect: Coloring the World with my Dance!
Reveal 1 [Debut holomem or 1st holomem] with #ReGLOSS from your deck, and add it to hand. Then, shuffle the deck.

Arts: Thunder of Deep Purple
Cost: 2 white, 1 any color
Power: 80+, +50 vs purple
If your stage has a holomem with #ReGLOSS other than <Todoroki Hajime>, this Arts gets +30.

[SR version available in hBP03 Elite Spark]",,,,,,,,,
hSD05-010,"儒烏風亭らでん
(Juufuutei Raden)",,2,Debut holomem,U,Green,80,#DEV_IS #ReGLOSS #Alcohol,"Arts: Lemme have a word
Cost: 1 any color
Power: 20
You may send 1 cheer from your archive to your holomem with #ReGLOSS.",,,,,,,,,
hSD05-011,"一条莉々華
(Ichijou Ririka)",,2,Debut holomem,U,Red,70,#DEV_IS #ReGLOSS #Cooking,"Collab Effect: Leave it to me!
If your center holomem has #ReGLOSS, and your hand has 5 or less cards, draw 1 card.

Arts: President's Oshi Duties
Cost: 1 any color
Power: 20",,,,,,,,,
hSD05-012,"火威青
(Hiodoshi Ao)",,2,Debut holomem,U,Blue,70,#DEV_IS #ReGLOSS #Painting,"Collab Effect: Boom!
Deal 10 special damage to 1 of your opponent's center holomem or back holomem.

Arts: You're the cutest in the world
Cost: 1 any color
Power: 20",,,,,,,,,
hSD05-013,"音乃瀬奏
(Otonose Kanade)",,2,Debut holomem,U,Yellow,90,#DEV_IS #ReGLOSS #Singing,"Collab Effect: Crescendo Days
You may reattach 1 cheer on your stage to your holomem other than this holomem.

Arts: Gahaha
Cost: 1 any color
Power: 20",,,,,,,,,
hSD05-014,"ばんぺん
(Banpen)",,2,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Todoroki Hajime>
The holomem this mascot is attached to gets +20 HP.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,2,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hBP01-104,"ふつうのパソコン
(Normal PC)",,2,Support (Item),C,,,,"Reveal 1 Debut holomem from your deck, and place it on stage. Then, shuffle the deck.",,,,,,,,,
hBP01-108,"じゃあ敵だね
(So, That Makes You My Enemy)",,2,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Swap your opponent's center holomem with 1 back holomem.",,,,,,,,,
hPR-002,ReGLOSS,,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #ReGLOSS from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hY01-001,"白エール
(White Cheer)",,20,Cheer,C,White,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,hSD06 Green: Kazama Iroha,,,,,,,,,,,,,,,,,
hSD06-001,"風真いろは
(Kazama Iroha)",,1,Oshi holomem,OC,Green,5,,"Oshi Skill holo Power -2: Green Microphone
[1/Turn]During this turn, your green center holomem gets Arts+20.

SP Oshi Skill holo Power -1: We'll Do our Best!
[1/Game]Restore 20 HP to all of your green holomem.",,,,,,,,,
hSD06-002,"風真いろは
(Kazama Iroha)",,4,Debut holomem,C,Green,80,#JP #holoX,"Collab Effect: Not! Nin-Nin!!
Restore 10 HP to 1 of your holomem.

Arts: Yes! Shing-Shing!!
Cost: 1 any color
Power: 20",,,,,,,,,
hSD06-003,"風真いろは
(Kazama Iroha)",,2,Debut holomem,U,Green,80,#JP #holoX,"Arts: Deadly Swing of the Blade
Cost: 1 green
Power: 30+
If your center holomem's HP is reduced, this Arts gets +10.",,,,,,,,,
hSD06-004,"風真いろは
(Kazama Iroha)",,4,1st holomem,C,Green,160,#JP #holoX,"Arts: Shy Bodyguard
Cost: 1 green, 1 any color
Power: 60",,,,,,,,,
hSD06-005,"風真いろは
(Kazama Iroha)",,4,1st holomem,C,Green,120,#JP #holoX,"Bloom Effect: Going out with Kazama
Send the top card of your cheer deck to your holomem with #holoX.

Arts: Together with Kazama!
Cost: 1 green
Power: 30",,,,,,,,,
hSD06-006,"風真いろは
(Kazama Iroha)",,2,1st Buzz holomem,R,Green,220,#JP #holoX,"Bloom Effect: Samurai Girl
Reveal 1 [<Chakimaru> or <Pokobe>] from your deck, and add it to hand. Then, shuffle the deck.

Arts: Ye will Rust on Thy Blade!
Cost: 1 green, 1 any color
Power: 50

Extra: If this holomem is downed, you get life-2",,,,,,,,,
hSD06-007,"風真いろは
(Kazama Iroha)",,2,2nd holomem,RR,Green,180,#JP #holoX,"Bloom Effect: Sending you energy
Restore 30 HP to 1 of your holomem with #holoX.

Arts: A genius, aren't I?
Cost: 1 green, 2 any color
Power: 70+, +50 vs blue
If your stage has 5 or more cheers, this Arts gets +50.

[SR version available in hBP03 Elite Spark]",,,,,,,,,
hSD06-008,"博衣こより
(Hakui Koyori)",,2,Debut holomem,U,White,70,#JP #holoX #Kemomimi,"Collab Effect: Brains!
If your center holomem has #holoX, and your hand has 5 or less cards, draw 1 card.

Arts: How's That!
Cost: 1 any color
Power: 10",,,,,,,,,
hSD06-009,"鷹嶺ルイ
(Takane Lui)",,2,Debut holomem,U,Red,80,#JP #holoX #Bird #Alcohol,"Arts: Reliable Female Officer
Cost: 1 any color
Power: 20
You may return 1 Debut holomem with #holoX from your archive to hand.",,,,,,,,,
hSD06-010,"ラプラス・ダークネス
(La+ Darknesss)",,2,Debut holomem,U,Purple,60,#JP #holoX #Shooter,"Arts: Banquet of Madness
Cost: 1 any color
Power: 30+
[Collab position only]If you used your SP Oshi skill during your main phase this turn, this Arts gets +50.",,,,,,,,,
hSD06-011,"ﾁｬｷ丸
(Chakimaru)",,2,Support (Tool),C,,,,"The holomem this tool is attached to gets Arts+10.

◆Additional ability if attached to a 1st or greater <Kazama Iroha>
[1/Turn]During your opponent's turn, when the holomem this tool is attached to takes damage, deal 20 special damage to your opponent's center holomem. However, your opponent's life does not reduce even if downed.

Only 1 tool can be attached to each of your holomem.",,,,,,,,,
hSD06-012,"ぽこべぇ
(Pokobe)",,2,Support (Mascot),C,,,,"The holomem this mascot is attached to gets +10 HP.

◆Additional ability if attached to <Kazama Iroha>
The holomem this mascot is attached to gets +20 HP.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,2,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hBP01-048,"風真いろは
(Kazama Iroha)",,6,Debut holomem,C,Green,120,#JP #holoX,"Arts: Hear ye, it is I, Kazama Iroha!
Cost: 1 any color
Power: 20

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hBP01-050,"風真いろは
(Kazama Iroha)",,2,1st holomem,U,Green,140,#JP #holoX,"Gift: Bodyguard
[Collab Position Only]Your opponent's holomem's Arts can only target your collab holomem. However, it excludes special damage.

Arts: Bringing You Energy at Full Power!
Cost: 1 green, 1 any color
Power: 20
Send the top card of your cheer deck to your holomem with #holoX other than <Kazama Iroha>.",,,,,,,,,
hBP01-104,"ふつうのパソコン
(Normal PC)",,2,Support (Item),C,,,,"Reveal 1 Debut holomem from your deck, and place it on stage. Then, shuffle the deck.",,,,,,,,,
hBP02-076,"カスタムパソコン
(Custom PC)",,2,Support (Item),C,,,,"Reveal 1 Debut holomem from your hand, and return it to the bottom of the deck. Then, reveal 1 1st holomem other than Buzz from your deck which has the same name as the Debut holomem, and add it to hand. Then, shuffle the deck.",,,,,,,,,
hBP02-080,"秘密結社holoX
(Secret Society holoX)",,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #holoX from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hY02-001,"緑エール
(Green Cheer)",,20,Cheer,C,Green,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,hSD07 Yellow: Shiranui Flare,,,,,,,,,,,,,,,,,
hSD07-001,"不知火フレア
(Shiranui Flare)",,1,Oshi holomem,OC,Yellow,5,,"Oshi Skill holo Power -2: Yellow Microphone
[1/Turn]During this turn, your yellow center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Leave the rest to me!
[1/Game]Swap your center holomem with 1 non-resting back holomem. Then, restore 30 HP to the holomem that moved to the back position.",,,,,,,,,
hSD07-002,"不知火フレア
(Shiranui Flare)",,6,Debut holomem,C,Yellow,110,#JP #Gen 3 #Half-Elf,"Arts: Noon-nui!
Cost: 1 any color
Power: 20

Arts: This is Shiranui Flare!
Cost: 3 any color
Power: 60

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hSD07-003,"不知火フレア
(Shiranui Flare)",,4,Debut holomem,C,Yellow,50,#JP #Gen 3 #Half-Elf,"Collab Effect: With Cherished Companions
If your stage has 5 or less holomem, reveal 1 [<Omaru Polka>, <Sakura Miko>, <Hoshimachi Suisei> or <Shirogane Noel>] Debut holomem from your deck, and you may place it on stage. Then, shuffle the deck.

Arts: Going out with you
Cost: 1 yellow
Power: 20",,,,,,,,,
hSD07-004,"不知火フレア
(Shiranui Flare)",,2,Debut holomem,U,Yellow,100,#JP #Gen 3 #Half-Elf,"Arts: Wonderful Life
Cost: 1 yellow
Power: 30+
If your hand has less cards than your opponent's, this Arts gets +10.",,,,,,,,,
hSD07-005,"不知火フレア
(Shiranui Flare)",,4,1st holomem,C,Yellow,170,#JP #Gen 3 #Half-Elf,"Arts: From Me to You
Cost: 1 yellow
Power: 30

Arts: Tea time with you
Cost: 1 yellow, 1 any color
Power: 50",,,,,,,,,
hSD07-006,"不知火フレア
(Shiranui Flare)",,4,1st holomem,C,Yellow,120,#JP #Gen 3 #Half-Elf,"Bloom Effect: The Chirp of Elfriends
Reveal 1 <Elfriend> from your deck, and add it to hand. Then, shuffle the deck.

Arts: I Love you the Most~ ♡
Cost: 1 any color
Power: 30+
If your life is 3 or less, this Arts gets +30.",,,,,,,,,
hSD07-007,"不知火フレア
(Shiranui Flare)",,2,1st holomem,U,Yellow,150,#JP #Gen 3 #Half-Elf,"Bloom Effect: I've Grown Once Again
[Back Position Only]You may swap your collab holomem with 70 or less HP with this holomem.

Arts: Keep your Eyes on Me!
Cost: 1 yellow, 1 any color
Power: 40",,,,,,,,,
hSD07-008,"不知火フレア
(Shiranui Flare)",,2,1st Buzz holomem,R,Yellow,250,#JP #Gen 3 #Half-Elf,"Arts: Elfriend Party
Cost: 1 yellow, 1 any color
Power: 50
You may attach 1 <Elfriend> from your archive to this holomem.

Extra: If this holomem is downed, you get life-2",,,,,,,,,
hSD07-009,"不知火フレア
(Shiranui Flare)",,2,2nd holomem,RR,Yellow,180,#JP #Gen 3 #Half-Elf,"Gift: Tireless
[Center Position Only]This holomem takes -10 damage.

Arts: Passionate Stage
Cost: 1 yellow, 2 any color
Power: 70+, +50 vs red
If your life is 3 or less, this Arts gets +70.

[SR version available in hBP03 Elite Spark]",,,,,,,,,
hSD07-010,"白銀ノエル
(Shirogane Noel)",,2,Debut holomem,U,White,70,#JP #Gen 3 #Alcohol,"Collab Effect: Proof of Greatness
During this turn, your center holomem gets Arts+10.

Arts: I want to Build Lots of Things
Cost: 1 any color
Power: 20",,,,,,,,,
hSD07-011,"さくらみこ
(Sakura Miko)",,2,Debut holomem,U,Red,60,#JP #Gen 0 #Baby,"Collab Effect: Burnin'♪ Burnin'♪
Deal 10 special damage to your opponent's center holomem.

Arts: The Demon Lord's Army is Gone
Cost: 1 any color
Power: 20",,,,,,,,,
hSD07-012,"尾丸ポルカ
(Omaru Polka)",,2,Debut holomem,U,Red,50,#JP #Gen 5 #Kemomimi,"Collab Effect: Give Us Water
If your center holomem is <Shiranui Flare>, and your hand has less cards than your opponent's, draw 1 card.

Arts: Prepare to Bury my Bones
Cost: 1 any color
Power: 20",,,,,,,,,
hSD07-013,"星街すいせい
(Hoshimachi Suisei)",,2,Debut holomem,U,Blue,70,#JP #Gen 0 #Singing,"Collab Effect: We're almost out of rice......
If your center holomem is <Shiranui Flare>, you may send 1 cheer from your archive to your holomem other than this holomem.

Arts: Please hire me!!
Cost: 1 any color
Power: 20",,,,,,,,,
hSD07-014,"不知火建設
(Shiranui Construction)",,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of <Shiranui Flare>, <Omaru Polka>, <Sakura Miko>, <Hoshimachi Suisei> and <Shirogane Noel> from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hSD07-015,"エルフレンド
(Elfriend)",,2,Support (Fan),C,,,,"The holomem this fan is attached to gets +10 HP.

You may only attach this fan to your <Shiranui Flare>, and you may attach any number of this fan per holomem.",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,2,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hSD01-018,"サブパソコン
(Sub PC)",,2,Support (Item),C,,,,"Look at the top 5 cards of your deck. Reveal 1 Limited support card from among them, and add it to hand. Then, return the rest to the bottom of the deck in any order.",,,,,,,,,
hBP01-104,"ふつうのパソコン
(Normal PC)",,2,Support (Item),C,,,,"Reveal 1 Debut holomem from your deck, and place it on stage. Then, shuffle the deck.",,,,,,,,,
hY06-001,"黄エール
(Yellow Cheer)",,20,Cheer,C,Yellow,,,Setcode,"Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text
,hSD08 White: Amane Kanata,,,,,,,,"These start decks are not available in the EN edition of hololive OCG. Instead, new cards from hSD08 White: Amane Kanata will be released in hBP04 Curious Universe, and new cards from hSD09 Red: Houshou Marine will be released in hBP05 Enchant Regalia (other than oshi holomem).",,,,,,,,,
hSD08-001,"天音かなた
(Amane Kanata)",,1,Oshi holomem,OC,White,5,,"Oshi Skill holo Power -2: White Microphone
[1/Turn]During this turn, your white center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Quick Guard
[1/Game]During your opponent's turn, usable if your white holomem would take damage from your opponent:That holomem takes -20 damage.",,,,,,,,,
hSD08-002,"天音かなた
(Amane Kanata)",,2,Debut holomem,U,White,100,#JP #Gen 4 #Singing #Summer,"Collab Effect: holoSummer
Look at the top 5 cards of your deck. Reveal 1 Debut holomem with #Summer from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: I Look Good in a Yukata, Right?
Cost: 1 any color
Power: 20",,,,,,,,,
hSD08-003,"天音かなた
(Amane Kanata)",,2,2nd holomem,R,White,200,#JP #Gen 4 #Singing,"Bloom Effect: I'll Hear You Out
Reveal 1 Debut holomem with #Gen 4 from your deck, and add it to hand. Then, shuffle the deck.

Arts: Everyone's Super Darling
Cost: 1 white, 2 any color
Power: 100+, +50 vs green
This Arts gets +10 for each holomem with #Summer on your stage.",,,,,,,,,
hSD08-004,"天音かなた
(Amane Kanata)",,2,2nd holomem,RR,White,180,#JP #Gen 4 #Singing,"Gift: Angel Wind
[Center Position Only]Your Debut holomem with #Gen 4 in the collab position gets Arts+40.

Arts: So that I Can Catch Up to You
Cost: 2 white, 1 any color
Power: 120, +50 vs red
[1/Turn]When this Arts downed your opponent's center holomem, deal 40 special damage to 1 of your opponent's 2nd holomem.",,,,,,,,,
hSD08-005,"姫森ルーナ
(Himemori Luna)",,2,Debut holomem,C,White,90,#JP #Gen 4 #Baby #Summer,"Gift: All-Encompassing Pouch
[Collab Position Only]During the opponent's turn, when your holomem is downed, and your life is less than or equal to your opponent's, your may return 1 item with ""PC"" in its card name from your archive to hand.

Arts: It's a Festival
Cost: 1 any color
Power: 30",,,,,,,,,
hSD08-006,"常闇トワ
(Tokoyami Towa)",,2,Debut holomem,C,Purple,90,#JP #Gen 4 #Singing #Shooter #Summer,"Collab Effect: Wanna Watch the Fireworks?
Deal 10 special damage to your opponent's center holomem. If you went second and it is your first turn, deal 20 special damage to your opponent's center holomem instead.

Arts: Have You Fallen for Towa?
Cost: 1 any color
Power: 20",,,,,,,,,
hSD08-007,"角巻わため
(Tsunomaki Watame)",,2,Debut holomem,C,Yellow,100,#JP #Gen 4 #Kemomimi #Singing #Summer,"Collab Effect: Summer Festival with Everyone
You may send 1 cheer from your archive to your 2nd holomem with #Gen 4.

Arts: Cotton Candy's Delicious
Cost: 1 any color
Power: 10",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,3,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hBP01-009,"天音かなた
(Amane Kanata)",,12,Debut holomem,C,White,90,#JP #Gen 4 #Singing,"Arts: KonKanata~
Cost: 1 white
Power: 40
This Arts can only target your opponent's center holomem.

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hBP01-011,"天音かなた
(Amane Kanata)",,4,1st holomem,C,White,150,#JP #Gen 4 #Singing,"Arts: Kanataso Giving the Cold Shoulder
Cost: 1 white
Power: 20",,,,,,,,,
hBP01-013,"天音かなた
(Amane Kanata)",,4,1st holomem,R,White,100,#JP #Gen 4 #Singing,"Bloom Effect: Angel's Work
Deal 30 Special Damage to your opponent's center holomem. However, your opponent's Life does not reduce even if downed.

Arts: Angel Stage
Cost: 1 white, 1 any color
Power: 50",,,,,,,,,
hBP01-108,"じゃあ敵だね
(So, That Makes You My Enemy)",,2,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Swap your opponent's center holomem with 1 back holomem.",,,,,,,,,
hBP01-116,"うぱお
(Upao)",,3,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Amane Kanata>
[1/Turn]During your opponent's turn, when the holomem this mascot is attached to takes Damage, deal 20 Special Damage to your opponent's center holomem.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hBP02-084,"みっころね24
(Mikkorone 24)",,2,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Draw 2 cards, and roll a die once:If it is 3, 5 or 6, reveal 1 Debut holomem from your deck, and add it to hand. Then, shuffle the deck. If it is 2 or 4, draw 1 card.",,,,,,,,,
hBP03-093,"ホロライブ4期生
(hololive Gen 4)",,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #Gen 4 from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hY01-001,"白エール
(White Cheer)",,20,Cheer,C,White,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,hSD09 Red: Houshou Marine,,,,,,,,,,,,,,,,,
hSD09-001,"宝鐘マリン
(Houshou Marine)",,1,Oshi holomem,OC,Red,5,,"Oshi Skill holo Power -2: Red Microphone
[1/Turn]During this turn, your red center holomem gets Arts+20.

SP Oshi Skill holo Power -1: Now! Once more!
[1/Game]Return 1 red holomem from your archive to hand.",,,,,,,,,
hSD09-002,"宝鐘マリン
(Houshou Marine)",,2,Debut holomem,U,Red,100,#JP #Gen 3 #Painting #Sea #Summer,"Collab Effect: holoSummer
Look at the top 5 cards of your deck. Reveal 1 Debut holomem with #Summer from among them, and add it to hand. Then, return the remaining cards to the bottom of the deck in any order.

Arts: Shall Your Captain Main the Helm?
Cost: 1 any color
Power: 20",,,,,,,,,
hSD09-003,"宝鐘マリン
(Houshou Marine)",,2,1st Buzz holomem,R,Red,240,#JP #Gen 3 #Painting #Sea,"Collab Effect: Let's Win This!
Deal 10 special damage to your opponent's center holomem for each differently named holomem with #Gen 3 on your stage.

Arts: Leave It to Marine! Or Else!
Cost: 1 red, 1 any color
Power: 50

Extra: If this holomem is downed, you get life-2",,,,,,,,,
hSD09-004,"宝鐘マリン
(Houshou Marine)",,2,2nd holomem,RR,Red,200,#JP #Gen 3 #Painting #Sea,"Arts: Bonds of Gen 3
Cost: 1 red
Power: 60, +50 vs Yellow
If your stage has a holomem with #Gen 3 other than <Houshou Marine>, draw 1 card.

Arts: Beyond the Horizon with You
Cost: 2 red, 1 any color
Power: 120, +50 vs yellow
Deal 10 special damage to your opponent's center holomem and collab holomem for each differently named holomem with #Gen 3 on your stage.",,,,,,,,,
hSD09-005,"白銀ノエル
(Shirogane Noel)",,2,Debut holomem,C,White,100,#JP #Gen 3 #Alcohol #Summer,"Collab Effect: Gen 3 Beach House
During this turn, your center 2nd holomem gets Arts+10 for each differently named holomem with #Gen 3 on your stage.

Arts: Summer Is Here!
Cost: 1 any color
Power: 20",,,,,,,,,
hSD09-006,"兎田ぺこら
(Usada Pekora)",,2,Debut holomem,C,Green,90,#JP #Gen 3 #Kemomimi #Summer,"Collab Effect: Get to Work, Peko!
If you went second and it is your first turn, send the top card of your cheer deck to your holomem with #Gen 3.

Arts: Here's Your Shaved Ice, Peko!
Cost: 1 any color
Power: 10",,,,,,,,,
hSD09-007,"不知火フレア
(Shiranui Flare)",,2,Debut holomem,C,Yellow,100,#JP #Gen 3 #Half-Elf #Summer,"Gift: Cool Down Period
[Collab Position Only]During your opponent's turn, if this holomem is downed and your life is less than your opponent's, you take -1 life damage.

Arts: Order Up! One Chilled Serving ♪
Cost: 3 any color
Power: 80",,,,,,,,,
hSD01-016,"春先のどか
(Harusaki Nodoka)",,4,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

Draw 3 cards from your deck.",,,,,,,,,
hSD01-017,"マネちゃん
(Manager-chan)",,3,Support (Staff),C,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 1 or more cards in hand excluding this card.

Return all of the cards in your hand to the deck and shuffle it. Then, draw 5 cards from your deck.",,,,,,,,,
hBP01-108,"じゃあ敵だね
(So, That Makes You My Enemy)",,2,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Swap your opponent's center holomem with 1 back holomem.",,,,,,,,,
hBP02-028,"宝鐘マリン
(Houshou Marine)",,12,Debut holomem,C,Red,100,#JP #Gen 3 #Painting #Sea,"Arts: Captain of the Houshou Pirates, Houshou Marine here!
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hBP02-030,"宝鐘マリン
(Houshou Marine)",,4,1st holomem,C,Red,160,#JP #Gen 3 #Painting #Sea,"Arts: Senchou, what's going to happen?
Cost: 1 red
Power: 40

Arts: Already so lewd♥
Cost: 1 red, 1 any color
Power: 60",,,,,,,,,
hBP02-032,"宝鐘マリン
(Houshou Marine)",,4,1st holomem,R,Red,130,#JP #Gen 3 #Painting #Sea,"Bloom Effect: Houshou Pirates
Reveal 1 <Houshou Marine> from your deck, and add it to hand. Then, shuffle the deck. You may only use the Bloom Effect ""Houshou Pirates"" once per turn.

Arts: Yosoro~
Cost: 2 any color
Power: 50",,,,,,,,,
hBP02-084,"みっころね24
(Mikkorone 24)",,2,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

Draw 2 cards, and roll a die once:If it is 3, 5 or 6, reveal 1 Debut holomem from your deck, and add it to hand. Then, shuffle the deck. If it is 2 or 4, draw 1 card.",,,,,,,,,
hBP02-085,HOLOLIVE FANTASY,,4,Support (Event),U,,,,"LIMITED: Only one can be used per turn.

This card can only be used if you have 6 or less cards in hand excluding this card.

Look at the top 4 cards of your deck. Reveal any number of holomem with #Gen 3 from among them, and add the revealed holomem to hand. Then, return the remaining cards to the bottom of the deck in any order.",,,,,,,,,
hBP02-095,"ドクロくん
(Dokuro-kun)",,3,Support (Mascot),C,,,,"The holomem this mascot is attached to gets Arts+10.

◆Additional ability if attached to <Houshou Marine>
[Center position only] When the holomem this mascot is attached to Blooms, draw 1 card from your deck.

Only 1 mascot can be attached to each of your holomem.",,,,,,,,,
hY03-001,"赤エール
(Red Cheer)",,20,Cheer,C,Red,,,Setcode,"Card Name ""JP (EN)""",Image,No. in deck,Type,Rarity,Color,LIFE/HP,Tags,Text
,hSD10 Green: Rindo Chihaya,,,,,,,,,,,,,,,,,
hSD10-001,"輪堂千速
(Rindo Chihaya)",,1,Oshi holomem,OSR,Green,5,,"Oshi Skill holo Power -2: Let's Rev Our Engines and Go!
[1/Turn] If your holomem has bloomed this turn, during this turn, 1 holomem with #FLOW GLOW on your stage gets Arts+30.

SP Oshi Skill holo Power -2: Won't You Come with Me to Chase Greater Heights?
[1/Game] Send the top card of your cheer deck to your holomem. Then, choose 1 of your holomem with #FLOW GLOW. During this turn, the chosen holomem gets Arts+20 for each of the chosen holomem's cheers.",,,,,,,,,
hSD10-002,"輪堂千速
(Rindo Chihaya)",,8,Debut holomem,C,Green,110,"#DEV_IS
#FLOW GLOW","Arts: Ready, Set, Rindo!
Cost: 1 any color
Power: 30

Extra: You may include any number of this holomem in the deck",,,,,,,,,
hSD10-003,"輪堂千速
(Rindo Chihaya)",,4,1st holomem,C,Green,170,"#DEV_IS
#FLOW GLOW","Arts: Going Full Throttle, Not an Act, All Natural
Cost: 1 any color
Power: 30

Arts: Giving It All, Crashing Through the Limits
Cost: 1 green, 2 any color
Power: 80",,,,,,,,,
hSD10-004,"輪堂千速
(Rindo Chihaya)",,2,1st holomem,U,Green,150,"#DEV_IS
#FLOW GLOW","Gift: 300 Horsepower!
If your Oshi holomem is <Rindo Chihaya>, and your opponent's stage has a 1st holomem, you may bloom this holomem that bloomed this turn once more using a 2nd holomem from your hand.

Arts: Powerful Driver!
Cost: 1 green, 1 any color
Power: 50
If your stage has 3 or more holomem with #FLOW GLOW, you may send the top card of your cheer deck to your back holomem.",,,,,,,,,
hSD10-005,"輪堂千速
(Rindo Chihaya)",,2,1st holomem,U,Green,160,"#DEV_IS
#FLOW GLOW","Collab Effect: DJ and Driver of FLOW GLOW
You may return 1~3 holomem with #FLOW GLOW from your archive to the bottom of your deck in any order. If 3 holomem were returned to deck, you may send the top card of your cheer deck to your holomem.

Arts: Here We Go!!!!
Cost: 1 green
Power: 20+
If your holomem bloomed this turn, during this turn, 1 <Rindo Chihaya> on your stage gets Arts+20.",,,,,,,,,
hSD10-006,"輪堂千速
(Rindo Chihaya)",,4,2nd holomem,RR,Green,200,"#DEV_IS
#FLOW GLOW","Arts: Navigator of Beat
Cost: 1 green, 1 any color
Power: 80+, +50 vs white
If your holomem bloomed this turn, this Arts gets +50.

Arts: Accele-BeatBlaze
Cost: 1 green, 2 any color
Power: 140, +50 vs white
If this Arts downed your opponent's center holomem, and the damage dealt was greater than the remaining HP, send the top card of your cheer deck to 1 of your back holomem for every 30 damage greater.",,,,,,,,,
